"id","chain_id","progression","responsiveness","persistence","conversation_quality","avg_response_hours","notes","score_error","scored_at","created_at","updated_at","created_by","updated_by"
11,31,3,2,1,2,"0.0080534375","This is a mass email blast to multiple recipients with identical content, showing no actual conversation progression or personalized follow-up strategy. No responses or engagement visible.",False,"2026-03-09 11:40:56.028166","2026-03-09 11:40:56.029337","2026-03-09 11:40:56.029354","craig","craig"
12,34,3,4,2,3,"0.15082680555555555","Multiple quick corrections within minutes show poor execution quality, while the conversation lacks clear prospect responses or engagement to measure actual sales progression.",False,"2026-03-09 11:40:59.2031","2026-03-09 11:40:59.204322","2026-03-09 11:40:59.204338","craig","craig"
13,12,1,1,2,1,NULL,"These are automated calendar decline notifications, not a sales conversation. No actual sales engagement or meaningful communication occurs between parties.",False,"2026-03-09 11:41:02.023882","2026-03-09 11:41:02.026132","2026-03-09 11:41:02.026151","craig","craig"
14,10,2,1,3,2,NULL,"Connor sent an email to the wrong company/person (wine company vs healthcare), received only an auto-reply indicating the recipient is on leave. No actual engagement or progression toward sales goals occurred.",False,"2026-03-09 11:41:05.142283","2026-03-09 11:41:05.143441","2026-03-09 11:41:05.143456","craig","craig"
15,18,8,9,7,8,"0.2582919444444444","Strong progression with clear next steps and meeting confirmation. Excellent responsiveness with same-day replies and proactive expectation management about pricing delays.",False,"2026-03-09 11:41:09.34058","2026-03-09 11:41:09.341727","2026-03-09 11:41:09.341742","craig","craig"
16,64,7,9,6,7,"0.30270638888888884","Strong initial engagement with detailed offer and quick responses, but conversation stalls after prospect commits to a timeline. Jack could have been more proactive in following up the next day.",False,"2026-03-09 11:41:13.641324","2026-03-09 11:41:13.642609","2026-03-09 11:41:13.642626","craig","craig"
17,71,1,8,3,2,NULL,"The conversation immediately fails when the prospect reveals a previous negative experience and explicitly declines collaboration, making any further sales progression impossible.",False,"2026-03-09 11:41:16.695326","2026-03-09 11:41:16.696359","2026-03-09 11:41:16.696376","craig","craig"
18,2,1,1,3,2,"1.0055555555555555","This appears to be initial outreach emails with no responses or follow-ups shown, making it impossible to evaluate actual conversation progression or responsiveness. The emails are generic templates sent to different recipients.",False,"2026-03-09 11:41:19.478591","2026-03-09 11:41:19.480064","2026-03-09 11:41:19.480072","craig","craig"
19,72,2,1,1,3,NULL,"This is a mass email blast with no personalization, follow-up, or actual conversation - just identical promotional emails sent to multiple recipients with no engagement or progression toward any sales goal.",False,"2026-03-09 11:41:22.312497","2026-03-09 11:41:22.313584","2026-03-09 11:41:22.313598","craig","craig"
20,47,6,8,5,6,"0.4467627777777778","Good initial follow-up with materials and pricing request shows progression, but Chris's technical question about the website seems disconnected from the sales flow.",False,"2026-03-09 11:41:24.965265","2026-03-09 11:41:24.966406","2026-03-09 11:41:24.966423","craig","craig"
21,46,2,8,1,3,NULL,"The conversation shows minimal progression with only an initial pitch and auto-reply. High responsiveness from recipient's auto-reply system, but zero persistence from sender who hasn't followed up despite clear instructions to contact after March 12th.",False,"2026-03-09 11:41:28.2611","2026-03-09 11:41:28.263138","2026-03-09 11:41:28.263156","craig","craig"
22,15,4,3,6,4,NULL,"The follow-up shows persistence and references specific solutions, but progression is limited by an auto-reply indicating the prospect is out of office. The conversation lacks meaningful engagement from the recipient.",False,"2026-03-09 11:41:30.845629","2026-03-09 11:41:30.846779","2026-03-09 11:41:30.846794","craig","craig"
23,73,1,10,1,1,NULL,"The conversation immediately ended with an auto-reply indicating the contact has left the company, making it impossible to progress toward any sales goal despite the strong initial pitch.",False,"2026-03-09 11:41:33.816634","2026-03-09 11:41:33.817634","2026-03-09 11:41:33.817646","craig","craig"
24,56,2,4,3,3,"0.009402777777777779","Multiple follow-ups show persistence but lack progression since no prospects have responded. The identical templated messages to different contacts reduce personalization and conversation quality.",False,"2026-03-09 11:41:37.298431","2026-03-09 11:41:37.299101","2026-03-09 11:41:37.299109","craig","craig"
25,40,3,7,2,4,NULL,"This is primarily a service recovery situation rather than sales progression. The rep responds appropriately to the complaint but immediately forwards internally without further customer engagement, showing limited persistence in relationship management.",False,"2026-03-09 11:41:40.551084","2026-03-09 11:41:40.552121","2026-03-09 11:41:40.552134","craig","craig"
26,13,10,9,8,9,NULL,"Excellent progression from negotiation to close with clear next steps provided. Strong responsiveness with timely follow-up and booking form delivery.",False,"2026-03-09 11:41:42.750958","2026-03-09 11:41:42.751996","2026-03-09 11:41:42.75201","craig","craig"
27,21,1,1,1,1,"1.1444444444444444","These appear to be empty email shells with only headers and no actual content, making it impossible to evaluate any sales conversation progress or quality.",False,"2026-03-09 11:41:45.083967","2026-03-09 11:41:45.084989","2026-03-09 11:41:45.085002","craig","craig"
28,5,1,1,1,1,"0.049143700396825404","This shows mass spam with empty bodies and desperate subject lines, not legitimate sales conversations. Zero engagement, progression, or professional quality.",False,"2026-03-09 11:41:47.497199","2026-03-09 11:41:47.498374","2026-03-09 11:41:47.498417","craig","craig"
29,19,8,9,7,8,"0.9488888888888889","Strong progression with contract signed and clear next steps provided. Excellent responsiveness with same-day replies and proactive handoffs between team members.",False,"2026-03-09 11:41:50.100347","2026-03-09 11:41:50.10117","2026-03-09 11:41:50.101184","craig","craig"
30,65,1,1,1,1,"0.0019444444444444444","Both emails are completely empty with no content, showing zero sales progression or engagement effort.",False,"2026-03-09 11:41:52.219892","2026-03-09 11:41:52.221155","2026-03-09 11:41:52.221172","craig","craig"
31,52,8,7,6,7,NULL,"Good progression with Dan connecting Sheraaz to the relevant CYP team, moving toward next steps. Positive responsiveness despite initial delay, and appropriate persistence level for relationship-building.",False,"2026-03-09 11:41:55.021148","2026-03-09 11:41:55.024232","2026-03-09 11:41:55.024343","craig","craig"
32,37,8,7,7,7,NULL,"Strong progression from initial agreement to booking form submission and final contract amendment. Good responsiveness despite some delays, with appropriate urgency communicated by seller.",False,"2026-03-09 11:41:57.798638","2026-03-09 11:41:57.800735","2026-03-09 11:41:57.800753","craig","craig"
33,32,1,8,1,2,NULL,"The prospect immediately disqualified themselves, but the sender made no attempt to follow up or explore related opportunities, showing poor persistence and no progression toward any sales goal.",False,"2026-03-09 11:42:00.643711","2026-03-09 11:42:00.644749","2026-03-09 11:42:00.644766","craig","craig"
34,24,7,8,6,7,NULL,"Good progression with relevant qualifying questions and prompt responses, but conversation appears incomplete as Jess hasn't followed up with the promised solution options after receiving Matt's detailed requirements.",False,"2026-03-09 11:42:03.625627","2026-03-09 11:42:03.626277","2026-03-09 11:42:03.626291","craig","craig"
35,55,1,1,1,1,"0.0025","No email bodies provided - cannot evaluate any sales conversation elements or progression toward goals.",False,"2026-03-09 11:42:05.868956","2026-03-09 11:42:05.870197","2026-03-09 11:42:05.870311","craig","craig"
36,68,7,8,7,7,NULL,"Good progression with prospect re-engaging and scheduling next steps. Mark shows appropriate persistence without being pushy and responds quickly with availability when prospect suggests late March timing.",False,"2026-03-09 11:42:08.765561","2026-03-09 11:42:08.766439","2026-03-09 11:42:08.766449","craig","craig"
37,38,2,1,3,2,"0.017827722222222224","This is mass outreach, not a conversation - identical emails sent to 6 different contacts at giffgaff with no responses or follow-ups. No actual sales progression occurred.",False,"2026-03-09 11:42:12.320849","2026-03-09 11:42:12.322182","2026-03-09 11:42:12.3222","craig","craig"
38,8,2,3,4,2,"0.09358796296296296","Mass outreach with identical generic follow-ups shows no personalization or progression toward sales goals. While timing shows some persistence, the lack of tailored messaging and zero engagement responses indicates poor conversation quality.",False,"2026-03-09 11:42:15.754332","2026-03-09 11:42:15.755652","2026-03-09 11:42:15.75567","craig","craig"
39,48,1,1,1,1,"0.003","All emails appear to be empty with no body content, making this a completely ineffective sales outreach with zero value or engagement.",False,"2026-03-09 11:42:18.096279","2026-03-09 11:42:18.097072","2026-03-09 11:42:18.097085","craig","craig"
40,28,2,1,3,2,"0.29381944444444447","This is mass outreach with templated follow-ups showing no progression or responses from prospects. The humor attempt in later emails feels forced and unprofessional for B2B sales.",False,"2026-03-09 11:42:21.040613","2026-03-09 11:42:21.04312","2026-03-09 11:42:21.043137","craig","craig"
41,30,7,8,6,7,NULL,"Good operational progression with clear deliverables and timelines. Responsive exchanges but limited sales advancement beyond coordinating marketing activities.",False,"2026-03-09 11:42:23.632514","2026-03-09 11:42:23.633357","2026-03-09 11:42:23.633366","craig","craig"
42,62,3,2,5,3,"0.0025236111111111115","This shows mass follow-up emails with identical content to multiple prospects but no responses or progression toward meetings. The timing is appropriate but lacks personalization and engagement.",False,"2026-03-09 11:42:26.74283","2026-03-09 11:42:26.743896","2026-03-09 11:42:26.74391","craig","craig"
43,67,7,8,6,7,NULL,"Good professional follow-up handling client requirements and logistics coordination. Strong responsiveness from both parties with appropriate persistence, though conversation focuses more on service delivery than sales advancement.",False,"2026-03-09 11:42:29.525032","2026-03-09 11:42:29.526036","2026-03-09 11:42:29.526049","craig","craig"
44,50,1,1,1,1,"0.002777777777777778","The emails contain no actual content or message body, making it impossible to evaluate any sales conversation elements or advancement toward goals.",False,"2026-03-09 11:42:32.288718","2026-03-09 11:42:32.289682","2026-03-09 11:42:32.289695","craig","craig"
45,51,3,4,6,4,"0.002554166666666667","Both emails are identical follow-ups to different contacts with no responses received, showing minimal progression and generic messaging despite appropriate timing.",False,"2026-03-09 11:42:34.95176","2026-03-09 11:42:34.952974","2026-03-09 11:42:34.952991","craig","craig"
46,76,2,1,3,2,"0.011039166666666664","This is a mass outreach campaign with identical templated emails sent to multiple prospects simultaneously, showing no conversation progression or personalization. No responses were received to evaluate follow-up quality.",False,"2026-03-09 11:42:38.28473","2026-03-09 11:42:38.285725","2026-03-09 11:42:38.285738","craig","craig"
47,69,2,1,1,3,"0.8026175","This shows only initial outreach emails with no responses or follow-ups. There's no conversation progression, and the identical content to two different contacts suggests a mass approach rather than personalized engagement.",False,"2026-03-09 11:42:41.164772","2026-03-09 11:42:41.165977","2026-03-09 11:42:41.165992","craig","craig"
48,42,9,9,8,8,"0.7045811111111112","Excellent progression from initial outreach to confirmed meeting within hours. Both parties were highly responsive and professional, successfully scheduling an intro call which is the clear next step in the sales process.",False,"2026-03-09 11:42:44.183468","2026-03-09 11:42:44.184324","2026-03-09 11:42:44.184341","craig","craig"
49,59,3,5,4,3,"0.0023930555555555554","This is a mass follow-up campaign with identical content sent to multiple recipients, showing minimal personalization or conversation development. The timing is appropriate (one week follow-up) but lacks individual engagement or response adaptation.",False,"2026-03-09 11:42:47.473186","2026-03-09 11:42:47.474141","2026-03-09 11:42:47.474157","craig","craig"
50,74,1,1,1,1,"0.25805555555555554","Both emails appear to be empty with only metadata provided, showing no actual conversation content or sales progression whatsoever.",False,"2026-03-09 11:42:49.706462","2026-03-09 11:42:49.708202","2026-03-09 11:42:49.708224","craig","craig"
51,6,1,1,1,1,"0.045030864197530864","This is mass spam, not a sales conversation - identical healthcare pitches sent to vintage clothing businesses with zero relevance or personalization.",False,"2026-03-09 11:42:52.016817","2026-03-09 11:42:52.018021","2026-03-09 11:42:52.018039","craig","craig"
52,29,1,1,1,1,"0.29379791666666666","All emails show empty bodies with only subject lines, making it impossible to evaluate any meaningful sales conversation or engagement.",False,"2026-03-09 11:42:54.204486","2026-03-09 11:42:54.2058","2026-03-09 11:42:54.205819","craig","craig"
53,41,4,3,5,4,"0.9544855555555556","The conversation lacks clear advancement toward closing a deal, with Chris asking follow-up questions but not receiving responses from Katie, making it difficult to assess real progress or engagement.",False,"2026-03-09 11:42:56.533828","2026-03-09 11:42:56.53513","2026-03-09 11:42:56.535149","craig","craig"
54,16,9,8,8,9,NULL,"Excellent progression from follow-up to confirmed meeting scheduling. Strong rapport-building and professional tone throughout, with successful advancement to next sales stage.",False,"2026-03-09 11:42:59.427125","2026-03-09 11:42:59.428434","2026-03-09 11:42:59.428452","craig","craig"
55,54,3,2,4,2,"0.0025822222222222223","Mass follow-up emails with identical content show poor personalization and no response to recipient silence. The conversation lacks progression as it's essentially the same message repeated without adaptation or value-add.",False,"2026-03-09 11:43:01.939208","2026-03-09 11:43:01.940172","2026-03-09 11:43:01.940186","craig","craig"
56,36,2,1,1,2,"0.09586111111111112","This appears to be duplicate emails sent 6 minutes apart with no recipient response, showing poor email management and no actual conversation progression toward a sales outcome.",False,"2026-03-09 11:43:04.654021","2026-03-09 11:43:04.655317","2026-03-09 11:43:04.655336","craig","craig"
57,4,1,1,2,1,"0.04915674603174603","This is mass spam, not conversation—identical 'final nudge' templates sent to 31+ recipients with no prior engagement or personalization. Zero progression toward any sales goal with complete absence of conversation quality.",False,"2026-03-09 11:43:08.74455","2026-03-09 11:43:08.745607","2026-03-09 11:43:08.745622","craig","craig"
58,53,1,1,1,1,"0.0025925925925925925","All emails are empty with no content, making this a complete failure as a sales conversation with no value provided to recipients.",False,"2026-03-09 11:43:10.791124","2026-03-09 11:43:10.791914","2026-03-09 11:43:10.791923","craig","craig"
59,23,3,8,6,4,NULL,"Quick responsiveness with a creative attempt to overcome price objection by offering free placement, but minimal progression toward actual deal closure and limited conversation development.",False,"2026-03-09 11:43:13.763486","2026-03-09 11:43:13.764765","2026-03-09 11:43:13.764784","craig","craig"
60,44,1,1,1,1,"0.06236934210526315","This appears to be mass spam with empty email bodies sent to multiple recipients within minutes, showing no personalization, conversation development, or sales engagement whatsoever.",False,"2026-03-09 11:43:16.591739","2026-03-09 11:43:16.592997","2026-03-09 11:43:16.593014","craig","craig"
61,58,1,1,1,1,"0.0023148148148148147","All emails are empty with no body content, making this impossible to evaluate as a sales conversation - there is literally no conversation happening.",False,"2026-03-09 11:43:20.370504","2026-03-09 11:43:20.371681","2026-03-09 11:43:20.371697","craig","craig"
62,1,8,7,8,7,NULL,"Strong progression with Nicholas committing to send a brief and schedule a call after multiple follow-ups. Zach maintained professional persistence across time zones, ultimately achieving engagement and forward momentum.",False,"2026-03-09 11:43:23.902524","2026-03-09 11:43:23.90344","2026-03-09 11:43:23.903451","craig","craig"
63,49,2,3,4,2,"0.0031045","This is a mass follow-up blast with identical templated messages to multiple recipients, showing no progression or personalization. The one-week follow-up timing is reasonable, but the lack of responses and repetitive approach limits effectiveness.",False,"2026-03-09 11:43:27.277997","2026-03-09 11:43:27.278886","2026-03-09 11:43:27.2789","craig","craig"
64,22,3,7,2,4,NULL,"This is an operational PO resolution exchange, not active sales progression. While responsive, it lacks sales advancement and represents minimal persistence in driving business forward.",False,"2026-03-09 11:43:30.31261","2026-03-09 11:43:30.313564","2026-03-09 11:43:30.313577","craig","craig"
65,70,1,1,1,2,"0.011413055555555556","This is just two identical emails sent to different addresses within seconds of each other with no responses from the prospect. No actual conversation progression occurred.",False,"2026-03-09 11:43:33.234622","2026-03-09 11:43:33.235167","2026-03-09 11:43:33.235179","craig","craig"
66,45,8,9,7,8,"0.1570397222222222","Strong progression from vague follow-up to detailed proposal with specific value proposition. Excellent responsiveness to prospect's request for details with comprehensive information including pricing, logistics, and social proof.",False,"2026-03-09 11:43:36.08726","2026-03-09 11:43:36.088059","2026-03-09 11:43:36.088072","craig","craig"
67,60,9,10,8,8,NULL,"Excellent progression - initial outreach successfully secured a meeting commitment within hours. Strong responsiveness from both parties with immediate, relevant replies and clear next steps established.",False,"2026-03-09 11:43:39.365619","2026-03-09 11:43:39.366932","2026-03-09 11:43:39.36695","craig","craig"
68,75,7,9,8,8,NULL,"Strong progression from initial interest to scheduled meeting with flexible rescheduling. Excellent responsiveness with quick replies and immediate calendar adjustments when conflicts arose.",False,"2026-03-09 11:43:42.436948","2026-03-09 11:43:42.438292","2026-03-09 11:43:42.438308","craig","craig"
69,43,1,1,1,1,"0.079","This is mass spam, not a sales conversation - identical templated emails sent to multiple recipients with no responses, follow-ups, or actual engagement.",False,"2026-03-09 11:43:45.269156","2026-03-09 11:43:45.269791","2026-03-09 11:43:45.269804","craig","craig"
70,3,1,1,1,1,"1.0056180555555556","This appears to be incomplete email data with no actual content, recipients, or meaningful conversation to evaluate.",False,"2026-03-09 11:43:47.453131","2026-03-09 11:43:47.454341","2026-03-09 11:43:47.454356","craig","craig"
71,61,1,1,1,1,"0.0025925925925925925","All emails appear to be empty with no body content, making this ineffective as a sales conversation with zero engagement or value provided.",False,"2026-03-09 11:43:52.166499","2026-03-09 11:43:52.16719","2026-03-09 11:43:52.167209","craig","craig"
72,14,7,9,6,7,NULL,"Good progression with detailed proposal and quick response to technical question. However, lacks clear next steps and timeline commitment from prospect despite seller's urgency.",False,"2026-03-09 11:43:55.034487","2026-03-09 11:43:55.035792","2026-03-09 11:43:55.035811","craig","craig"
73,35,3,8,4,3,"0.7181266666666666","While both parties are responsive, the conversation lacks clear progression toward any sales goal with vague exchanges and no concrete next steps or value proposition being advanced.",False,"2026-03-09 11:43:57.778732","2026-03-09 11:43:57.779115","2026-03-09 11:43:57.779122","craig","craig"
74,63,5,8,6,6,NULL,"Good responsiveness and professional tone, but limited progression toward booking confirmations. The conversation maintains momentum but lacks concrete outcomes or clear next steps.",False,"2026-03-09 11:44:00.676312","2026-03-09 11:44:00.676699","2026-03-09 11:44:00.676706","craig","craig"
75,9,1,1,1,1,"0.0935804861111111","All emails are empty with no body content and appear to be mass-sent to multiple recipients within an hour, showing zero engagement or conversation development.",False,"2026-03-09 11:44:03.121135","2026-03-09 11:44:03.122155","2026-03-09 11:44:03.122168","craig","craig"
76,7,1,1,1,1,"0.040542999999999996","This appears to be mass email spam with identical subject lines sent to multiple recipients within minutes, with no actual email content or meaningful sales conversation.",False,"2026-03-09 11:44:05.696452","2026-03-09 11:44:05.696748","2026-03-09 11:44:05.696755","craig","craig"
