"id","email_id","personalisation","clarity","value_proposition","cta","overall","notes","score_error","scored_at","created_at","updated_at","created_by","updated_by"
17,132,3,8,1,2,3,"This is a cancellation email with clear communication but offers no value proposition or meaningful next steps for rescheduling the meeting.",False,"2026-03-09 11:40:20.250033","2026-03-09 11:40:20.273062","2026-03-09 11:40:20.273064","craig","craig"
18,134,7,8,6,9,7,"Good personalisation using recipient's name and referencing their previous interest. Clear next steps with booking form and payment process, though value proposition could be stronger.",False,"2026-03-09 11:40:20.250109","2026-03-09 11:40:20.273078","2026-03-09 11:40:20.273081","craig","craig"
19,135,3,6,2,5,3,"This is actually a reply in an ongoing conversation rather than a sales email. The personalisation is minimal, the value proposition is unclear, and while there's an implicit CTA (calling the phone number), it's somewhat passive.",False,"2026-03-09 11:40:20.250184","2026-03-09 11:40:20.273092","2026-03-09 11:40:20.273094","craig","craig"
20,139,4,3,2,6,4,"This is a calendar update notification, not a traditional sales email. While it includes meeting details and clear joining instructions, it lacks any sales context or value proposition for the 'Sales Conversations On-Demand Service' mentioned in the title.",False,"2026-03-09 11:40:20.250259","2026-03-09 11:40:20.273104","2026-03-09 11:40:20.273106","craig","craig"
21,143,1,3,1,4,2,"This is a calendar invitation, not a sales email, with no value proposition or personalization beyond names and meeting details.",False,"2026-03-09 11:40:20.250336","2026-03-09 11:40:20.273116","2026-03-09 11:40:20.273118","craig","craig"
22,147,8,7,6,8,7,"Well-personalized follow-up referencing specific call details and contract status, with clear next steps requested. However, the value proposition could be stronger and some technical details reduce overall clarity.",False,"2026-03-09 11:40:20.25041","2026-03-09 11:40:20.273128","2026-03-09 11:40:20.27313","craig","craig"
23,150,7,8,3,2,5,"Good personalisation with specific context about previous enquiry and thoughtful follow-up by CC'ing colleague, but lacks clear value proposition and actionable CTA since it's mainly a polite closing response.",False,"2026-03-09 11:40:20.250507","2026-03-09 11:40:20.27314","2026-03-09 11:40:20.273142","craig","craig"
24,151,8,8,7,6,7,"Well-targeted email with specific event details and local relevance, but CTA could be more direct and the value proposition could better emphasize concrete benefits for the Foundation.",False,"2026-03-09 11:40:20.250584","2026-03-09 11:40:20.273152","2026-03-09 11:40:20.273154","craig","craig"
25,175,8,8,7,6,7,"Well-targeted email with specific event details and free offer, but CTA could be clearer about next steps beyond 'let me know'.",False,"2026-03-09 11:40:20.250664","2026-03-09 11:40:20.273164","2026-03-09 11:40:20.273167","craig","craig"
26,211,8,7,6,8,7,"Good personalization with name usage and reference to previous conversation about roller banner. Clear CTAs for booking form and artwork submission, though value proposition could be stronger about event benefits.",False,"2026-03-09 11:40:20.250742","2026-03-09 11:40:20.273176","2026-03-09 11:40:20.273179","craig","craig"
27,186,7,8,8,6,7,"Good personalisation with company name and relevant event context. Clear value proposition offering free student engagement opportunity. CTA could be more specific about next steps beyond 'let me know'.",False,"2026-03-09 11:40:20.250819","2026-03-09 11:40:20.273188","2026-03-09 11:40:20.27319","craig","craig"
28,192,6,7,5,6,6,"Good personalisation with company name and industry relevance, but lacks specific details about the recipient's challenges. Value proposition is somewhat vague about concrete benefits and ROI for London Theatre Direct.",False,"2026-03-09 11:40:20.250894","2026-03-09 11:40:20.273201","2026-03-09 11:40:20.273203","craig","craig"
29,193,3,6,5,7,5,"Low personalisation - generic approach with no specific reference to London Theatre Direct's needs. Clear structure and decent CTA, but value proposition could be stronger with specific benefits outlined.",False,"2026-03-09 11:40:20.25097","2026-03-09 11:40:20.273213","2026-03-09 11:40:20.273215","craig","craig"
30,197,6,7,6,7,6,"Good targeting of London Theatre Direct with relevant student audience proposition, but lacks specific company insights or pain points. Clear structure and reasonable call to action, though value could be articulated more compellingly.",False,"2026-03-09 11:40:20.251047","2026-03-09 11:40:20.273226","2026-03-09 11:40:20.273228","craig","craig"
31,198,6,4,2,3,4,"The email references Sophie by name and follows up on a specific booking form, showing some personalisation. However, it's unclear what value is being offered, has poor formatting/grammar, and lacks a clear next step beyond just mentioning the attached documents.",False,"2026-03-09 11:40:20.25112","2026-03-09 11:40:20.273238","2026-03-09 11:40:20.27324","craig","craig"
32,199,6,7,6,7,6,"Good targeting to London theatre company with campus promotion services, but lacks specific pain points or company research. Clear structure and direct CTA, though value could be more compelling.",False,"2026-03-09 11:40:20.251196","2026-03-09 11:40:20.27325","2026-03-09 11:40:20.273252","craig","craig"
33,203,6,7,5,6,6,"The email shows good personalisation by referencing London Theatre Direct and targeting London students specifically. However, the value proposition is vague about specific benefits, and the CTA could be more compelling than just requesting a 'brief intro call'.",False,"2026-03-09 11:40:20.251273","2026-03-09 11:40:20.273264","2026-03-09 11:40:20.273267","craig","craig"
34,217,6,7,5,6,6,"Good personalisation with recipient's name, company, and relevant targeting (London students), but value proposition is vague about specific benefits. Clear structure but could be more concise with a stronger, more specific call to action.",False,"2026-03-09 11:40:20.251348","2026-03-09 11:40:20.273277","2026-03-09 11:40:20.273279","craig","craig"
35,227,2,4,3,2,3,"Very generic follow-up with minimal personalization beyond the recipient's name. The value proposition around university fairs is vague, and there's no clear immediate call to action besides 'let me know if you want to reconnect.'",False,"2026-03-09 11:40:20.251425","2026-03-09 11:40:20.273289","2026-03-09 11:40:20.273291","craig","craig"
36,237,3,7,1,4,3,"This is an auto-reply/out-of-office message explaining absence due to surgery. It provides clear contact alternatives but lacks sales value proposition and specific CTA for the recipient's original inquiry about student promotions.",False,"2026-03-09 11:40:20.251501","2026-03-09 11:40:20.273301","2026-03-09 11:40:20.273303","craig","craig"
37,238,7,6,4,3,5,"Good personalisation with specific responses to previous questions and detailed data. Clear structure but dense formatting hurts readability. Limited value proposition beyond answering questions. Weak CTA - mainly promises to follow up rather than requesting specific action.",False,"2026-03-09 11:40:20.251575","2026-03-09 11:40:20.273313","2026-03-09 11:40:20.273315","craig","craig"
38,239,1,8,1,2,2,"This is an out-of-office auto-reply, not a sales email, so it lacks any value proposition or personalization for sales purposes.",False,"2026-03-09 11:40:20.251648","2026-03-09 11:40:20.273325","2026-03-09 11:40:20.273327","craig","craig"
39,252,6,7,7,5,6,"Good targeting of charity sector and relevant event alignment, but lacks specific knowledge about Yorkshire Sport Foundation's work. Clear structure but CTA is vague - doesn't specify next steps beyond 'let me know'.",False,"2026-03-09 11:40:20.251776","2026-03-09 11:40:20.273343","2026-03-09 11:40:20.273346","craig","craig"
40,257,7,8,3,6,6,"Well-personalized follow-up referencing previous meeting and specific project details, but lacks clear value proposition and has a weak, passive call to action asking for updates rather than driving action forward.",False,"2026-03-09 11:40:20.251851","2026-03-09 11:40:20.273356","2026-03-09 11:40:20.273359","craig","craig"
41,264,8,6,7,4,7,"Good personalisation with specific recipient name and brand references, but the email is somewhat wordy and the CTA is weak (closing the ticket rather than encouraging action).",False,"2026-03-09 11:40:20.251943","2026-03-09 11:40:20.273368","2026-03-09 11:40:20.273371","craig","craig"
42,269,8,7,3,8,6,"High personalisation as part of ongoing conversation with specific timeline needs. Clear CTA requesting booking form, but lacks value proposition as it's purely transactional follow-up.",False,"2026-03-09 11:40:20.25202","2026-03-09 11:40:20.273381","2026-03-09 11:40:20.273383","craig","craig"
43,279,8,6,2,5,5,"This appears to be an internal support ticket response, not a sales email. It's well-personalized for internal communication but lacks sales value proposition entirely.",False,"2026-03-09 11:40:20.252094","2026-03-09 11:40:20.273393","2026-03-09 11:40:20.273395","craig","craig"
44,281,4,6,1,3,3,"This is a casual follow-up email that lacks any clear business value proposition or specific call to action, reading more like informal correspondence than a sales communication.",False,"2026-03-09 11:40:20.252174","2026-03-09 11:40:20.273405","2026-03-09 11:40:20.273407","craig","craig"
45,291,1,2,1,1,1,"This appears to be an internal calendar invitation, not a sales email, with poor formatting and no clear sales value proposition or external prospect targeting.",False,"2026-03-09 11:40:20.25225","2026-03-09 11:40:20.273417","2026-03-09 11:40:20.273419","craig","craig"
46,292,1,3,1,1,1,"This is an automated calendar decline notification, not a sales email, so it lacks any sales value proposition, personalization, or meaningful call to action.",False,"2026-03-09 11:40:20.252325","2026-03-09 11:40:20.273429","2026-03-09 11:40:20.273431","craig","craig"
47,430,2,3,1,1,2,"This is just a two-word acknowledgment 'Thanks Ryan!' with no personalization, value proposition, or call to action - essentially an empty response in a business context.",False,"2026-03-09 11:40:20.252399","2026-03-09 11:40:20.273441","2026-03-09 11:40:20.273443","craig","craig"
48,431,3,4,2,2,3,"The email shows minimal personalisation beyond mentioning the recipient's name and company. The follow-up lacks clarity about what they're actually offering and has a weak, vague call to action.",False,"2026-03-09 11:40:20.252473","2026-03-09 11:40:20.273456","2026-03-09 11:40:20.273458","craig","craig"
49,339,8,7,7,6,7,"Strong personalisation with specific company name and industry context, but the CTA could be more specific about meeting details and the value proposition, while clear, could better emphasize concrete outcomes.",False,"2026-03-09 11:40:20.252572","2026-03-09 11:40:20.273468","2026-03-09 11:40:20.27347","craig","craig"
50,357,2,6,1,4,3,"The email lacks any value proposition or context about what the meeting would cover, and has minimal personalization beyond using the recipient's first name. The CTA is vague without specific options or clear next steps.",False,"2026-03-09 11:40:20.252648","2026-03-09 11:40:20.27348","2026-03-09 11:40:20.273482","craig","craig"
51,364,1,8,1,3,2,"This is an out-of-office auto-reply, not a sales email. It clearly communicates the sender's absence but offers no value proposition or personalization for sales purposes.",False,"2026-03-09 11:40:20.252724","2026-03-09 11:40:20.273492","2026-03-09 11:40:20.273494","craig","craig"
52,365,6,8,3,4,5,"Good personalization with specific names and context from email thread, but lacks clear value proposition beyond introducing Neil and has only an implied follow-up action rather than a specific call to action.",False,"2026-03-09 11:40:20.252796","2026-03-09 11:40:20.273504","2026-03-09 11:40:20.273506","craig","craig"
53,369,8,7,6,5,7,"Strong personalisation with reference to morning chat and specific event details for Leeds. Clear value but CTA could be more specific than 'just let me know'.",False,"2026-03-09 11:40:20.252872","2026-03-09 11:40:20.273516","2026-03-09 11:40:20.273518","craig","craig"
54,475,3,7,6,8,6,"Email lacks specific personalisation to Sam/Apple beyond general tech brand assumptions. Clear structure and strong CTA, but value proposition could be more compelling with specific ROI examples.",False,"2026-03-09 11:40:20.252946","2026-03-09 11:40:20.273528","2026-03-09 11:40:20.273531","craig","craig"
55,138,2,4,2,3,3,"Very brief follow-up email lacking context and personalisation. The request for 'SoV for the screens' is unclear without explanation, and there's no clear value proposition for the recipient.",False,"2026-03-09 11:40:20.253022","2026-03-09 11:40:20.27354","2026-03-09 11:40:20.273543","craig","craig"
56,144,7,8,6,5,6,"Good contextual response to specific SoV question with clear technical details. Missing stronger CTA and could better emphasize unique value beyond just answering the question.",False,"2026-03-09 11:40:20.253096","2026-03-09 11:40:20.273552","2026-03-09 11:40:20.273555","craig","craig"
57,141,7,8,6,7,7,"Good personalisation with specific company reference and store footfall objective. Clear structure and easy call-to-action, but value proposition could be more compelling about specific benefits.",False,"2026-03-09 11:40:20.253174","2026-03-09 11:40:20.273565","2026-03-09 11:40:20.273567","craig","craig"
58,377,2,4,1,3,2,"This is a brief meeting confirmation email with minimal personalization beyond the name. It lacks any value proposition and has a weak call to action, though it's reasonably clear in its purpose.",False,"2026-03-09 11:40:20.25325","2026-03-09 11:40:20.273576","2026-03-09 11:40:20.273579","craig","craig"
59,456,1,8,1,1,2,"This is just a calendar acceptance notification, not a sales email - it has no value proposition, personalization, or sales call to action.",False,"2026-03-09 11:40:20.253348","2026-03-09 11:40:20.273588","2026-03-09 11:40:20.273591","craig","craig"
60,379,6,4,7,5,6,"Good personalization with company name and reference to previous contact, but clarity suffers from run-on sentences and overly long signature. Value proposition is solid but CTA could be more specific.",False,"2026-03-09 11:40:20.253427","2026-03-09 11:40:20.273604","2026-03-09 11:40:20.273606","craig","craig"
61,391,8,6,2,7,5,"Highly personalized with specific booking numbers and context, but lacks value proposition as it's purely operational. Clear action items but cluttered with lengthy signature.",False,"2026-03-09 11:40:20.253506","2026-03-09 11:40:20.273616","2026-03-09 11:40:20.273618","craig","craig"
62,393,7,8,3,6,6,"Good personalisation with specific venue, date, and contact reference, but lacks clear value proposition about what the booking offers Allan/his company and why they should proceed.",False,"2026-03-09 11:40:20.253579","2026-03-09 11:40:20.273628","2026-03-09 11:40:20.273631","craig","craig"
63,395,8,9,3,2,5,"Highly personalized follow-up referencing specific client and campaign details, very clear communication, but lacks value proposition and actionable next steps for recipient.",False,"2026-03-09 11:40:20.253654","2026-03-09 11:40:20.27364","2026-03-09 11:40:20.273643","craig","craig"
64,402,8,9,6,7,7,"Well-personalised follow-up with specific pricing information and clear next steps, though the value proposition could be stronger in explaining benefits of multiple designs versus single design.",False,"2026-03-09 11:40:20.253727","2026-03-09 11:40:20.273653","2026-03-09 11:40:20.273655","craig","craig"
65,404,5,8,2,6,5,"The email is clear and well-structured but lacks specific value proposition and has minimal personalisation beyond knowing previous discussions occurred.",False,"2026-03-09 11:40:20.253801","2026-03-09 11:40:20.273665","2026-03-09 11:40:20.273667","craig","craig"
66,413,7,6,8,7,7,"Good personalisation with recipient name and relevant industry targeting (hair & beauty). Strong value proposition around student engagement timing, but email is quite lengthy and could be more concise for better clarity.",False,"2026-03-09 11:40:20.253874","2026-03-09 11:40:20.273678","2026-03-09 11:40:20.27368","craig","craig"
67,415,3,4,1,5,3,"This is a generic follow-up with no clear value proposition or context about the partnership proposal mentioned in the subject line. The CTA is simple but lacks urgency or specificity.",False,"2026-03-09 11:40:20.253946","2026-03-09 11:40:20.27369","2026-03-09 11:40:20.273692","craig","craig"
68,416,6,7,6,5,6,"The email shows good personalisation by referencing F1 Arcade specifically and mentioning a previous voicemail, but the CTA is somewhat vague with multiple options rather than one clear next step.",False,"2026-03-09 11:40:20.254018","2026-03-09 11:40:20.273702","2026-03-09 11:40:20.273704","craig","craig"
69,418,3,7,2,4,3,"The email is clearly written but lacks personalization beyond using Laura's name and company. No clear value proposition is offered, and the CTA is vague ('jump on a quick call' without specific purpose or urgency).",False,"2026-03-09 11:40:20.254107","2026-03-09 11:40:20.273714","2026-03-09 11:40:20.273716","craig","craig"
70,420,3,6,2,4,3,"Generic handoff email with minimal personalization beyond using the recipient's name. No clear value proposition or specific next steps, just vague offers to 'discuss opportunities' or 'jump on a call'.",False,"2026-03-09 11:40:20.254183","2026-03-09 11:40:20.273726","2026-03-09 11:40:20.273728","craig","craig"
71,427,3,4,2,5,3,"Email shows minimal personalisation beyond mentioning specific universities and lacks clear value proposition about what the 'package' offers. The call to action is present but vague.",False,"2026-03-09 11:40:20.254275","2026-03-09 11:40:20.273737","2026-03-09 11:40:20.27374","craig","craig"
72,429,7,8,4,7,6,"Good personalisation with specific reference to previous conversation and Freshers activity. Clear follow-up structure but lacks compelling value proposition for why Ben should engage.",False,"2026-03-09 11:40:20.254348","2026-03-09 11:40:20.273751","2026-03-09 11:40:20.273754","craig","craig"
73,414,7,9,5,9,7,"Clear, direct scheduling response with specific CTA, but lacks value reinforcement about Native's capabilities or what Elouise can expect from the call.",False,"2026-03-09 11:40:20.25442","2026-03-09 11:40:20.273764","2026-03-09 11:40:20.273766","craig","craig"
74,443,8,7,4,5,6,"Good personalisation referencing specific logistics and context from previous emails. Clear structure but value proposition is unclear - Emma asks what's needed from them, suggesting confusion about the partnership terms.",False,"2026-03-09 11:40:20.254492","2026-03-09 11:40:20.273776","2026-03-09 11:40:20.273778","craig","craig"
75,459,1,8,1,3,2,"This is an out-of-office auto-reply indicating the sender has left the company, not a sales email. It clearly communicates the situation but offers no value proposition or personalization for sales purposes.",False,"2026-03-09 11:40:20.254564","2026-03-09 11:40:20.273788","2026-03-09 11:40:20.27379","craig","craig"
76,467,8,9,6,8,7,"Highly personalized with specific event details and recipient's business name. Clear structure and actionable CTA, but value proposition focuses more on logistics than benefits to the recipient.",False,"2026-03-09 11:40:20.254637","2026-03-09 11:40:20.2738","2026-03-09 11:40:20.273803","craig","craig"
77,476,1,1,1,1,1,"This appears to be just email signature/footer content without any actual sales message body, making it completely ineffective across all dimensions.",False,"2026-03-09 11:40:20.254708","2026-03-09 11:40:20.273812","2026-03-09 11:40:20.273815","craig","craig"
78,477,1,3,1,2,1,"This is an automated calendar invitation update, not a sales email - it lacks any value proposition, personalization, or sales-focused call to action.",False,"2026-03-09 11:40:20.254781","2026-03-09 11:40:20.273826","2026-03-09 11:40:20.273828","craig","craig"
79,480,2,8,1,7,4,"This is a calendar invitation update, not a sales email. It clearly communicates meeting details but offers no value proposition or sales messaging.",False,"2026-03-09 11:40:20.254854","2026-03-09 11:40:20.273838","2026-03-09 11:40:20.273841","craig","craig"
80,483,1,8,1,2,2,"This is a calendar acceptance notification, not a sales email, so it lacks any value proposition or personalization for sales purposes.",False,"2026-03-09 11:40:20.254944","2026-03-09 11:40:20.27385","2026-03-09 11:40:20.273853","craig","craig"
81,485,1,8,1,1,2,"This is a calendar acceptance notification, not a sales email - it contains no value proposition, personalization, or sales-related call to action.",False,"2026-03-09 11:40:20.255018","2026-03-09 11:40:20.273865","2026-03-09 11:40:20.273867","craig","craig"
82,488,1,3,1,2,1,"This is a brief reply email with no personalization, value proposition, or clear next steps - just a vague acknowledgment that they'll decide whether to proceed.",False,"2026-03-09 11:40:20.255091","2026-03-09 11:40:20.273877","2026-03-09 11:40:20.273879","craig","craig"
83,490,8,6,4,3,5,"Well-personalised with specific company context and ongoing conversation history, but lacks clear value proposition and has weak call to action - just asking if there are questions without specific next steps.",False,"2026-03-09 11:40:20.255165","2026-03-09 11:40:20.273889","2026-03-09 11:40:20.273891","craig","craig"
84,491,2,4,2,6,3,"Very brief follow-up email with minimal personalisation and unclear value proposition. The CTA is clear (book a meeting via signature link) but the email lacks substance and context for why a second meeting would be beneficial.",False,"2026-03-09 11:40:20.255234","2026-03-09 11:40:20.273902","2026-03-09 11:40:20.273904","craig","craig"
85,492,1,8,1,1,2,"This is an automated calendar decline notification, not a sales email, so it lacks any value proposition, personalization, or sales-focused call to action.",False,"2026-03-09 11:40:20.255289","2026-03-09 11:40:20.273914","2026-03-09 11:40:20.273916","craig","craig"
86,494,3,8,1,6,4,"This appears to be an internal request for updated PLI documents rather than a sales email, with clear communication but no sales value proposition or customer-focused personalization.",False,"2026-03-09 11:40:20.255343","2026-03-09 11:40:20.273925","2026-03-09 11:40:20.273928","craig","craig"
87,50,2,7,3,4,4,"Mass-sent template with minimal personalization beyond names, vague value proposition about 'student outreach' without specifics, and weak CTA that mainly focuses on stopping emails rather than engagement.",False,"2026-03-09 11:40:20.255406","2026-03-09 11:40:20.273937","2026-03-09 11:40:20.273939","craig","craig"
88,1,2,6,1,4,3,"This is a brief reply email that lacks value proposition and personalization, but is clear and has a weak call to action about sending a brief and scheduling a call.",False,"2026-03-09 11:40:20.255709","2026-03-09 11:40:20.273949","2026-03-09 11:40:20.273952","craig","craig"
89,2,6,8,2,3,4,"Professional and clear response acknowledging Nicholas's timeline, but lacks specific value proposition and has only a weak implied CTA to stay in touch.",False,"2026-03-09 11:40:20.255924","2026-03-09 11:40:20.273962","2026-03-09 11:40:20.273964","craig","craig"
90,7,3,7,6,7,5,"The email lacks meaningful personalisation beyond the recipient's name and uses generic urgency tactics. While the structure is clear and the CTA is simple, the value proposition could be stronger with more specific benefits for the coffee brand's student market.",False,"2026-03-09 11:40:20.255999","2026-03-09 11:40:20.273974","2026-03-09 11:40:20.273976","craig","craig"
91,18,1,6,4,5,4,"This is clearly a mass email template with zero personalization - the sender name is literally '--' and content is identical to previous emails. The value proposition is vague and relies on FOMO rather than specific benefits.",False,"2026-03-09 11:40:20.25606","2026-03-09 11:40:20.273986","2026-03-09 11:40:20.273988","craig","craig"
92,10,6,7,4,5,5,"Good personalization with recipient's name and company reference, but value proposition is vague about student marketing benefits. CTA offers multiple unclear options rather than one specific next step.",False,"2026-03-09 11:40:20.256119","2026-03-09 11:40:20.273998","2026-03-09 11:40:20.274","craig","craig"
93,15,3,6,4,5,4,"The email lacks specific personalisation beyond the recipient's name and company, with a vague value proposition around 'student marketing or university partnerships' that doesn't clearly explain benefits or relevance to DAM Health.",False,"2026-03-09 11:40:20.256174","2026-03-09 11:40:20.27401","2026-03-09 11:40:20.274012","craig","craig"
94,17,2,6,3,4,3,"Email shows minimal personalisation with copy-paste errors (mentions DAM Health for different recipient). Value proposition is vague, only mentioning 'student marketing' without clear benefits or specifics.",False,"2026-03-09 11:40:20.256251","2026-03-09 11:40:20.274022","2026-03-09 11:40:20.274025","craig","craig"
95,25,3,6,2,4,3,"Email lacks specific personalization beyond company name and has virtually no clear value proposition. The 'final nudge' approach with self-deprecating humor shows some awareness but doesn't compel action or explain concrete benefits.",False,"2026-03-09 11:40:20.256307","2026-03-09 11:40:20.274034","2026-03-09 11:40:20.274036","craig","craig"
96,27,3,7,4,5,4,"While the email is clear and respectful, it lacks specific personalization beyond the name and offers only a vague value proposition about 'student outreach' without concrete benefits or examples.",False,"2026-03-09 11:40:20.256361","2026-03-09 11:40:20.274046","2026-03-09 11:40:20.274048","craig","craig"
97,28,2,7,3,4,4,"This is a generic template email sent to multiple recipients with minimal personalization beyond names/companies. The value proposition is vague ('student outreach') and the CTA lacks specificity.",False,"2026-03-09 11:40:20.257205","2026-03-09 11:40:20.274058","2026-03-09 11:40:20.27406","craig","craig"
98,29,2,7,3,4,4,"This is a generic mass email with minimal personalization beyond the recipient's name. The value proposition is vague ('student outreach') and the CTA is weak - essentially asking for a response without a specific next step.",False,"2026-03-09 11:40:20.257267","2026-03-09 11:40:20.27407","2026-03-09 11:40:20.274072","craig","craig"
99,37,4,7,3,5,4,"Email shows minimal personalization (just name/company) and vague value proposition about student partnerships. Clear structure but weak call-to-action with multiple options that dilute focus.",False,"2026-03-09 11:40:20.257321","2026-03-09 11:40:20.274082","2026-03-09 11:40:20.274084","craig","craig"
100,38,4,7,3,5,4,"Mass-sent template with minimal personalization beyond recipient name and company. Value proposition is vague (student marketing/partnerships) without specific benefits, and CTA is weak with multiple conflicting options.",False,"2026-03-09 11:40:20.257374","2026-03-09 11:40:20.274094","2026-03-09 11:40:20.274097","craig","craig"
101,39,3,7,3,4,4,"This is a mass-sent template with minimal personalization (just name/company). The value proposition is vague 'student marketing/partnerships' without specifics, and the CTA is weak with multiple conflicting options.",False,"2026-03-09 11:40:20.257426","2026-03-09 11:40:20.274111","2026-03-09 11:40:20.274114","craig","craig"
102,40,3,7,4,5,4,"This is a generic template blast with minimal personalization beyond names/companies. The value proposition is vague (student marketing/partnerships) and the CTA is weak - asking recipients to do the work of responding or redirecting him.",False,"2026-03-09 11:40:20.257479","2026-03-09 11:40:20.274123","2026-03-09 11:40:20.274126","craig","craig"
103,41,2,6,3,4,3,"This is a generic mass email with minimal personalization beyond names, and the value proposition is vague about what Native.fm actually offers beyond 'student marketing/partnerships'.",False,"2026-03-09 11:40:20.257531","2026-03-09 11:40:20.274136","2026-03-09 11:40:20.274138","craig","craig"
104,44,2,6,3,4,3,"Mass email blast with minimal personalisation beyond names, vague value proposition about student partnerships, and weak CTA that essentially asks recipients to ignore the sender.",False,"2026-03-09 11:40:20.257617","2026-03-09 11:40:20.274147","2026-03-09 11:40:20.27415","craig","craig"
105,48,3,7,2,4,3,"This is clearly a mass-sent template email with minimal personalization beyond the recipient's name and company. The value proposition is extremely vague, mentioning only 'student marketing or university partnerships' without explaining what the sender actually offers or how it benefits the recipient.",False,"2026-03-09 11:40:20.25767","2026-03-09 11:40:20.27416","2026-03-09 11:40:20.274162","craig","craig"
106,51,2,6,3,4,3,"This is clearly a mass email blast with minimal personalization beyond names and company mentions. The value proposition is vague, mentioning only 'student marketing or university partnerships' without explaining what Native.fm actually offers or how it benefits recipients.",False,"2026-03-09 11:40:20.257721","2026-03-09 11:40:20.274172","2026-03-09 11:40:20.274174","craig","craig"
